name	coverage	copy_number
RND-3_FAMILY-368#LTR/Copia	217711	120
RND-1_FAMILY-387#LTR/Copia	215457	50
RND-1_FAMILY-572#LTR/Copia	215154	146
RND-5_FAMILY-3479#Unknown	215150	91
RND-4_FAMILY-5427#LTR/Gypsy	213583	83
RND-1_FAMILY-123#LTR/Gypsy	213332	68
RND-4_FAMILY-3442#LTR/Copia	212269	102
RND-1_FAMILY-548#DNA/CMC-EnSpm	205850	137
RND-1_FAMILY-508#LTR/Gypsy	204574	200
RND-4_FAMILY-200#DNA/MULE-MuDR	204348	94
RND-1_FAMILY-461#LTR/Gypsy	203221	48
RND-1_FAMILY-42#LTR/Gypsy	202317	133
RND-4_FAMILY-314#LTR/Gypsy	197045	151
RND-4_FAMILY-3920#LTR/Copia	194932	145
RND-1_FAMILY-33#LTR/Gypsy	193890	122
RND-1_FAMILY-163#LTR/Gypsy	191257	86
RND-4_FAMILY-975#LTR/Gypsy	190867	77
RND-1_FAMILY-265#LTR/Copia	190469	47
RND-1_FAMILY-119#LTR/Copia	190268	77
RND-1_FAMILY-37#DNA/CMC-EnSpm	190186	189
RND-1_FAMILY-274#LINE/L1	190129	414
RND-1_FAMILY-17#Unknown	188293	451
RND-1_FAMILY-133#DNA/CMC-EnSpm	187261	191
RND-1_FAMILY-161#LTR/Copia	185774	117
RND-1_FAMILY-550#DNA/CMC-EnSpm	185370	154
RND-4_FAMILY-5769#LINE/L1	184488	130
RND-3_FAMILY-68#DNA/MULE-MuDR	184260	64
RND-3_FAMILY-8#LTR/Copia	182683	114
RND-4_FAMILY-6924#Unknown	182165	228
RND-4_FAMILY-453#LTR/Gypsy	180303	59
RND-1_FAMILY-81#LTR/Copia	179980	84
RND-1_FAMILY-574#LTR/Copia	179381	73
RND-1_FAMILY-178#DNA/MULE-MuDR	179059	123
RND-1_FAMILY-41#LTR/Gypsy	178356	45
RND-5_FAMILY-3373#LTR/Gypsy	175380	118
RND-1_FAMILY-162#LTR/Gypsy	175214	161
RND-1_FAMILY-278#LTR/Gypsy	174525	50
RND-1_FAMILY-87#LTR/Gypsy	170928	104
RND-4_FAMILY-3424#LTR/Copia	169264	72
RND-1_FAMILY-94#Unknown	166140	271
RND-1_FAMILY-506#LTR/Gypsy	165686	267
RND-1_FAMILY-405#LTR/Copia	165524	93
RND-1_FAMILY-417#DNA/MULE-MuDR	164837	80
RND-4_FAMILY-435#LTR/Gypsy	164774	81
RND-1_FAMILY-372#LTR/Gypsy	162262	48
RND-1_FAMILY-358#LTR/Gypsy	161901	84
RND-1_FAMILY-115#LTR/Copia	161455	43
RND-1_FAMILY-275#LTR/Copia	161134	61
RND-1_FAMILY-353#LTR/Gypsy	160668	94
RND-1_FAMILY-480#Unknown	160664	360
RND-1_FAMILY-38#LTR/Gypsy	159346	52
RND-1_FAMILY-117#DNA/MULE-MuDR	159336	208
RND-1_FAMILY-48#LTR/Gypsy	158764	56
RND-1_FAMILY-378#LTR/Gypsy	158301	114
RND-4_FAMILY-3474#LTR/Copia	158190	54
RND-4_FAMILY-374#LTR/Copia	157352	82
RND-4_FAMILY-1808#LTR/Gypsy	156451	34
RND-1_FAMILY-626#LTR/Copia	155999	97
RND-1_FAMILY-526#LTR/Gypsy	154145	108
RND-1_FAMILY-146#DNA/hAT-Ac	153675	146
RND-4_FAMILY-3127#LTR/Copia	153459	127
RND-4_FAMILY-1954#Satellite	151542	261
RND-4_FAMILY-5735#LTR/Copia	148437	87
RND-4_FAMILY-816#LTR/Copia	148300	107
RND-1_FAMILY-407#LTR/Gypsy	147215	25
RND-1_FAMILY-195#LTR/Gypsy	147143	109
RND-1_FAMILY-448#LTR/Copia	146787	58
RND-1_FAMILY-183#Unknown	146440	298
RND-1_FAMILY-36#LTR/Gypsy	145922	186
RND-1_FAMILY-585#Unknown	145648	585
RND-1_FAMILY-57#Unknown	145574	330
RND-3_FAMILY-4047#Satellite	145071	181
RND-1_FAMILY-514#LTR/Gypsy	144665	136
RND-4_FAMILY-1834#LTR/Copia	142064	77
RND-1_FAMILY-6#Unknown	141607	463
RND-4_FAMILY-7203#DNA/MULE-MuDR	141367	102
RND-1_FAMILY-165#Unknown	139416	208
RND-1_FAMILY-618#LTR/Gypsy	139395	109
RND-1_FAMILY-211#LTR/Copia	139357	52
RND-4_FAMILY-1890#LTR/Gypsy	138623	101
RND-1_FAMILY-289#DNA/MULE-MuDR	138411	73
RND-3_FAMILY-4046#Satellite	137965	200
RND-4_FAMILY-6222#LTR/Copia	137864	110
RND-1_FAMILY-44#LTR/Gypsy	137502	86
RND-4_FAMILY-736#LTR/Copia	137321	111
RND-1_FAMILY-380#LTR/Gypsy	136858	80
RND-1_FAMILY-309#LTR/Copia	136587	86
RND-1_FAMILY-283#LTR/Gypsy	136174	78
RND-4_FAMILY-18727#DNA/MULE-MuDR	134556	130
RND-1_FAMILY-188#Unknown	134397	143
RND-1_FAMILY-72#DNA/CMC-EnSpm	132991	72
RND-1_FAMILY-517#LTR/Gypsy	132482	54
RND-1_FAMILY-18#LTR/Copia	131021	53
RND-1_FAMILY-49#DNA/CMC-EnSpm	129767	69
RND-1_FAMILY-286#LINE/L1	129658	287
RND-1_FAMILY-61#LTR/Gypsy	129551	120
RND-1_FAMILY-97#LTR/Gypsy	129494	85
RND-1_FAMILY-571#DNA/MULE-MuDR	129342	76
RND-1_FAMILY-82#DNA/MULE-MuDR	128511	127
RND-1_FAMILY-334#DNA/MULE-MuDR	126563	153
RND-1_FAMILY-258#DNA/CMC-EnSpm	125978	136
RND-3_FAMILY-209#Unknown	125077	380
RND-1_FAMILY-306#DNA/PIF-Harbinger	124516	137
RND-4_FAMILY-3286#DNA/MULE-MuDR	123885	212
RND-1_FAMILY-46#RC/Helitron	123680	498
RND-4_FAMILY-7464#LINE/L1	122627	162
RND-1_FAMILY-7#LTR/Gypsy	122525	114
RND-1_FAMILY-19#Unknown	122461	478
RND-1_FAMILY-25#LINE/L1	122036	269
RND-1_FAMILY-616#LTR/Copia	121982	26
RND-1_FAMILY-126#LINE/L1	121729	163
RND-1_FAMILY-54#Unknown	121117	471
RND-1_FAMILY-456#LTR/Copia	120767	91
RND-1_FAMILY-39#Unknown	120470	117
RND-1_FAMILY-32#DNA/MULE-MuDR	120126	52
RND-1_FAMILY-159#LTR/Gypsy	119629	63
RND-4_FAMILY-9773#LTR/Copia	119626	100
RND-4_FAMILY-313#LTR/Gypsy	117979	67
RND-4_FAMILY-3703#RC/Helitron	117757	247
RND-1_FAMILY-340#Unknown	117597	298
RND-1_FAMILY-34#Unknown	117311	337
RND-1_FAMILY-130#Unknown	117124	106
RND-1_FAMILY-73#LTR/Copia	116844	35
RND-1_FAMILY-127#LTR/Copia	115531	105
RND-1_FAMILY-354#LTR/Copia	115332	34
RND-4_FAMILY-3180#LTR/Gypsy	115210	129
RND-1_FAMILY-93#DNA/CMC-EnSpm	114365	76
RND-1_FAMILY-69#LTR/Gypsy	114309	31
RND-1_FAMILY-472#LTR/Gypsy	112869	65
RND-1_FAMILY-239#LTR/Gypsy	112606	22
RND-4_FAMILY-5661#DNA/CMC-EnSpm	112450	147
RND-1_FAMILY-264#LTR/Gypsy	112433	64
RND-5_FAMILY-249#LTR/Gypsy	110998	7
RND-1_FAMILY-410#LTR/Gypsy	110190	53
RND-1_FAMILY-593#LTR/Gypsy	109858	59
RND-4_FAMILY-2926#LTR/Gypsy	109057	65
RND-4_FAMILY-2338#DNA/MULE-MuDR	108867	136
RND-4_FAMILY-1016#DNA/hAT-Tip100	108664	154
RND-1_FAMILY-202#LTR/Gypsy	106539	12
RND-4_FAMILY-3139#Unknown	106411	104
RND-1_FAMILY-481#LTR/Gypsy	106344	88
RND-4_FAMILY-8243#LINE/L1	106251	107
RND-1_FAMILY-30#LTR/Gypsy	105942	76
RND-1_FAMILY-111#LTR/Gypsy	105475	79
RND-1_FAMILY-56#Unknown	104871	198
RND-1_FAMILY-331#LTR/Copia	103645	49
RND-4_FAMILY-2783#LTR/Copia	103624	91
RND-1_FAMILY-189#Unknown	103453	134
RND-1_FAMILY-148#DNA/MULE-MuDR	103193	81
RND-1_FAMILY-484#LTR/Gypsy	103159	79
RND-1_FAMILY-157#LTR/Gypsy	102139	117
RND-1_FAMILY-26#Unknown	101771	243
RND-3_FAMILY-3364#LINE/L1	100839	225
RND-1_FAMILY-1#Unknown	100822	315
RND-5_FAMILY-1689#LTR/Gypsy	99496	93
RND-1_FAMILY-382#DNA/MULE-MuDR	99463	60
RND-1_FAMILY-3#LTR/ERV1	98600	81
RND-1_FAMILY-458#LTR/Gypsy	97848	50
RND-1_FAMILY-589#RC/Helitron	97844	359
RND-4_FAMILY-3793#LINE/L1	97629	76
RND-1_FAMILY-95#Unknown	97187	141
RND-1_FAMILY-47#LTR/Gypsy	97153	82
RND-1_FAMILY-194#LTR/Copia	96374	43
RND-1_FAMILY-103#DNA/MULE-MuDR	96116	36
RND-1_FAMILY-609#LTR/Gypsy	95983	60
RND-4_FAMILY-846#Unknown	95935	367
RND-4_FAMILY-2032#DNA/MULE-MuDR	95844	109
RND-5_FAMILY-698#LTR/Caulimovirus	95815	51
RND-3_FAMILY-1463#LINE/L1	95646	102
RND-5_FAMILY-4543#Unknown	95554	243
RND-4_FAMILY-4412#DNA/PIF-Harbinger	94764	118
RND-4_FAMILY-3452#LINE/L1	94664	89
RND-1_FAMILY-580#LTR/Gypsy	94499	94
RND-4_FAMILY-855#LTR/Gypsy	94331	56
RND-1_FAMILY-500#DNA/MULE-MuDR	94149	66
RND-4_FAMILY-376#LTR/Gypsy	93148	53
RND-1_FAMILY-531#DNA/hAT-Ac	93113	102
RND-3_FAMILY-50#LINE/L1	93095	97
RND-4_FAMILY-496#LTR/Gypsy	93010	102
RND-4_FAMILY-3362#LINE/L1	92872	81
RND-4_FAMILY-1#Unknown	92504	268
RND-4_FAMILY-2092#LTR/Caulimovirus	92221	43
RND-4_FAMILY-3924#DNA/CMC-EnSpm	92060	52
RND-1_FAMILY-277#Unknown	91965	155
RND-5_FAMILY-4711#Unknown	91067	142
RND-1_FAMILY-217#RC/Helitron	90963	92
RND-4_FAMILY-1371#LTR/Copia	90875	65
RND-1_FAMILY-577#LTR/Copia	90799	92
RND-1_FAMILY-552#DNA/MULE-MuDR	90738	172
RND-1_FAMILY-523#LTR/Gypsy	90554	69
RND-4_FAMILY-14406#LTR/Copia	89553	66
RND-4_FAMILY-2812#LTR/Copia	89542	85
RND-1_FAMILY-525#LTR/Gypsy	89127	69
RND-2_FAMILY-104#LINE/L1	89099	162
RND-1_FAMILY-118#Unknown	89074	178
RND-1_FAMILY-595#Unknown	88830	185
RND-4_FAMILY-2071#Unknown	88465	242
RND-1_FAMILY-71#DNA/hAT-Ac	88070	407
RND-5_FAMILY-1031#DNA/MULE-MuDR	87812	147
RND-1_FAMILY-70#DNA/CMC-EnSpm	87793	105
RND-1_FAMILY-408#Unknown	87743	168
RND-3_FAMILY-3386#LTR/Copia	87214	63
RND-1_FAMILY-9#LTR/Gypsy	87050	66
RND-4_FAMILY-410#Unknown	87039	227
RND-4_FAMILY-562#DNA/MULE-MuDR	86973	97
RND-1_FAMILY-185#LTR/Copia	86861	73
RND-4_FAMILY-1143#LINE/L1	86736	76
RND-3_FAMILY-273#LINE/L1	85928	74
RND-4_FAMILY-737#LTR/Copia	85776	77
RND-1_FAMILY-29#Satellite	85442	84
RND-1_FAMILY-153#LTR/Gypsy	85267	63
RND-4_FAMILY-4296#DNA/MULE-MuDR	85219	77
RND-3_FAMILY-228#Unknown	85092	262
RND-4_FAMILY-1945#LTR/Gypsy	85035	37
RND-1_FAMILY-201#LTR/Copia	84877	77
RND-4_FAMILY-1615#LTR/Copia	84300	94
RND-1_FAMILY-169#LTR/Gypsy	84252	47
RND-4_FAMILY-437#LTR/Copia	82761	48
RND-1_FAMILY-174#Unknown	82059	180
RND-1_FAMILY-529#DNA/hAT-Ac	82045	118
RND-4_FAMILY-4934#DNA/MULE-MuDR	81988	106
RND-1_FAMILY-521#DNA/hAT-Tip100	81788	102
RND-1_FAMILY-223#Unknown	81745	189
RND-1_FAMILY-610#DNA/hAT-Ac	81592	174
RND-1_FAMILY-10#Unknown	81277	159
RND-1_FAMILY-350#Unknown	81131	46
RND-4_FAMILY-315#DNA/MULE-MuDR	81048	116
RND-1_FAMILY-224#DNA/CMC-EnSpm	80841	80
RND-1_FAMILY-622#LTR/Gypsy	80819	76
RND-4_FAMILY-1804#LINE/L1	80617	121
RND-1_FAMILY-166#DNA/MULE-MuDR	80537	44
RND-1_FAMILY-355#DNA/PIF-Harbinger	79923	116
RND-4_FAMILY-1789#DNA/PIF-Harbinger	79872	55
RND-1_FAMILY-424#LTR/Copia	79751	70
RND-3_FAMILY-204#Unknown	79750	276
RND-1_FAMILY-359#LTR/Gypsy	79463	34
RND-1_FAMILY-108#Unknown	78799	167
RND-4_FAMILY-2422#LINE/L1	78785	163
RND-1_FAMILY-8#LTR/Gypsy	78370	39
RND-1_FAMILY-110#Unknown	78155	251
RND-4_FAMILY-341#Unknown	78011	34
RND-4_FAMILY-12036#DNA/MULE-MuDR	77754	91
RND-4_FAMILY-3468#Unknown	77718	204
RND-1_FAMILY-532#DNA/hAT-Tip100	77358	73
RND-4_FAMILY-1980#LINE/L1	77189	211
RND-4_FAMILY-1785#LTR/Copia	76952	41
RND-1_FAMILY-319#Unknown	76932	229
RND-4_FAMILY-1649#Unknown	76900	145
RND-1_FAMILY-104#Unknown	76446	196
RND-1_FAMILY-287#Unknown	76415	126
RND-4_FAMILY-1888#LTR/Gypsy	75780	83
RND-4_FAMILY-8267#LTR/Copia	75428	71
RND-4_FAMILY-7045#DNA/MULE-MuDR	75348	88
RND-3_FAMILY-277#Unknown	74986	142
RND-4_FAMILY-607#Unknown	74731	164
RND-1_FAMILY-518#Unknown	74689	56
RND-4_FAMILY-9396#LTR/Copia	74423	57
RND-1_FAMILY-493#LTR/Gypsy	73786	64
RND-1_FAMILY-206#DNA/MULE-MuDR	73311	85
RND-4_FAMILY-19178#LTR/Gypsy	73239	14
RND-1_FAMILY-488#LTR/Copia	72800	57
RND-1_FAMILY-209#Unknown	72365	299
RND-1_FAMILY-556#Unknown	72202	304
RND-4_FAMILY-4378#DNA/MULE-MuDR	71928	57
RND-1_FAMILY-486#LTR/Gypsy	71544	78
RND-1_FAMILY-59#Unknown	71328	319
RND-1_FAMILY-267#LTR/Copia	71050	55
RND-2_FAMILY-150#Unknown	70393	273
RND-1_FAMILY-200#LTR/Gypsy	70226	57
RND-1_FAMILY-303#LTR/Gypsy	70143	79
RND-5_FAMILY-267#LINE/L1	70049	38
RND-1_FAMILY-84#LTR/Gypsy	69800	64
RND-4_FAMILY-7623#LINE/L1	69516	86
RND-1_FAMILY-400#LTR/Gypsy	69017	45
RND-3_FAMILY-1399#DNA/hAT-Ac	68915	279
RND-1_FAMILY-454#Unknown	68765	70
RND-1_FAMILY-238#LTR/Gypsy	68548	78
RND-4_FAMILY-5996#LTR/Copia	68454	66
RND-1_FAMILY-106#LTR/Gypsy	68390	70
RND-1_FAMILY-170#Unknown	68143	332
RND-1_FAMILY-621#DNA/MULE-MuDR	68117	31
RND-4_FAMILY-5962#LINE/L1	67928	152
RND-1_FAMILY-597#RC/Helitron	67920	126
RND-4_FAMILY-14701#LTR/Copia	67677	69
RND-2_FAMILY-295#LTR/Gypsy	67651	33
RND-4_FAMILY-371#RC/Helitron	67499	267
RND-4_FAMILY-1647#DNA/hAT-Tip100	67476	97
RND-1_FAMILY-134#LTR/Gypsy	67333	87
RND-1_FAMILY-533#RC/Helitron	67306	90
RND-3_FAMILY-1565#DNA/CMC-EnSpm	67230	39
RND-1_FAMILY-611#LINE/L1	66966	151
RND-1_FAMILY-291#DNA/PIF-Harbinger	66935	157
RND-1_FAMILY-218#Unknown	66886	111
RND-1_FAMILY-361#DNA/MULE-MuDR	66801	53
RND-1_FAMILY-446#LTR/Gypsy	66434	81
RND-4_FAMILY-2681#LTR/Copia	66411	51
RND-1_FAMILY-152#LTR/Gypsy	66257	56
RND-1_FAMILY-207#DNA/hAT-Ac	66179	123
RND-3_FAMILY-168#Unknown	66172	55
RND-1_FAMILY-463#LTR/Gypsy	66166	63
RND-4_FAMILY-14470#LTR/Copia	66021	158
RND-1_FAMILY-501#Unknown	65755	116
RND-4_FAMILY-3944#LTR/Copia	64746	133
RND-1_FAMILY-324#Unknown	64743	75
RND-1_FAMILY-11#LTR/Gypsy	64442	43
RND-4_FAMILY-1017#LTR/Caulimovirus	64353	43
RND-1_FAMILY-519#Unknown	64328	34
RND-4_FAMILY-492#LTR/Gypsy	64019	70
RND-1_FAMILY-99#LTR/Gypsy	63596	39
RND-4_FAMILY-2644#LTR/Gypsy	63431	12
RND-1_FAMILY-15#LTR/Gypsy	63421	25
RND-1_FAMILY-513#LTR/Copia	63365	27
RND-1_FAMILY-629#Unknown	63177	89
RND-1_FAMILY-388#DNA/CMC-EnSpm	63166	53
RND-1_FAMILY-606#DNA/PIF-Harbinger	63153	74
RND-1_FAMILY-317#LTR/Gypsy	63113	48
RND-4_FAMILY-14017#LTR/Copia	63091	49
RND-4_FAMILY-9410#DNA/MULE-MuDR	62943	207
RND-1_FAMILY-231#LINE/L1	62875	76
RND-4_FAMILY-3904#LTR/Caulimovirus	62601	21
RND-1_FAMILY-479#LTR/Gypsy	62554	40
RND-4_FAMILY-1160#Unknown	62329	258
RND-1_FAMILY-543#DNA/CMC-EnSpm	61998	53
RND-1_FAMILY-452#LTR/Copia	61936	38
RND-4_FAMILY-1750#LINE/L1	61895	65
RND-4_FAMILY-86#DNA/MULE-MuDR	61832	139
RND-1_FAMILY-316#DNA/CMC-EnSpm	61788	46
RND-4_FAMILY-1489#Unknown	61756	160
RND-1_FAMILY-186#Unknown	61581	232
RND-1_FAMILY-86#Unknown	61475	328
RND-1_FAMILY-503#LTR/ERV1	61293	210
RND-1_FAMILY-608#Unknown	61139	44
RND-1_FAMILY-307#DNA/hAT-Ac	61089	96
RND-4_FAMILY-1229#Unknown	61013	145
RND-1_FAMILY-310#DNA/hAT-Ac	60990	183
RND-1_FAMILY-460#LTR/Caulimovirus	60900	42
RND-4_FAMILY-3046#LTR/Gypsy	60694	58
RND-1_FAMILY-144#LTR/Copia	60686	12
RND-4_FAMILY-3325#Unknown	60566	86
RND-1_FAMILY-491#LTR/Gypsy	60416	24
RND-5_FAMILY-1549#Unknown	60319	143
RND-1_FAMILY-234#LTR/Copia	60155	50
RND-1_FAMILY-294#DNA/MULE-MuDR	59848	92
RND-4_FAMILY-174#Unknown	59660	230
RND-5_FAMILY-1570#Unknown	59527	123
RND-1_FAMILY-222#LTR/Copia	59502	28
RND-1_FAMILY-199#LTR/Copia	59413	23
RND-4_FAMILY-882#DNA/MULE-MuDR	58913	34
RND-4_FAMILY-2042#Unknown	58909	365
RND-1_FAMILY-135#LTR/Copia	58704	59
RND-4_FAMILY-2083#Unknown	58365	119
RND-1_FAMILY-121#DNA/MULE-MuDR	58288	53
RND-1_FAMILY-590#LTR/Gypsy	58202	57
RND-4_FAMILY-178#RC/Helitron	58158	116
RND-1_FAMILY-271#Unknown	58054	74
RND-4_FAMILY-4304#Unknown	57837	67
RND-3_FAMILY-298#LTR/Copia	57672	20
RND-1_FAMILY-168#LTR/Copia	57432	154
RND-1_FAMILY-241#DNA/MULE-MuDR	57298	70
RND-1_FAMILY-259#LTR/Copia	57175	57
RND-3_FAMILY-1276#Unknown	57152	133
RND-1_FAMILY-305#LTR/Copia	57075	81
RND-3_FAMILY-1625#LTR/Caulimovirus	57065	36
RND-1_FAMILY-245#Unknown	56859	204
RND-1_FAMILY-445#LTR/Copia	56857	93
RND-3_FAMILY-202#Unknown	56734	203
RND-1_FAMILY-300#LTR/Copia	56731	48
RND-1_FAMILY-40#LTR/Gypsy	56727	14
RND-4_FAMILY-2169#DNA/MULE-MuDR	56696	129
RND-1_FAMILY-437#LTR/Gypsy	56551	55
RND-1_FAMILY-78#LTR/Copia	56471	26
RND-4_FAMILY-2811#Unknown	56369	132
RND-4_FAMILY-979#DNA/hAT-Ac	56243	116
RND-1_FAMILY-497#LTR/Gypsy	55798	41
RND-1_FAMILY-273#DNA/CMC-EnSpm	55721	73
RND-3_FAMILY-11#LTR/Copia	55570	40
RND-1_FAMILY-566#LTR/Copia	54874	49
RND-4_FAMILY-267#LTR/Copia	54758	21
RND-1_FAMILY-360#DNA/MULE-MuDR	54733	70
RND-1_FAMILY-279#LTR/Gypsy	54643	53
RND-1_FAMILY-77#LTR/Copia	54322	63
RND-1_FAMILY-252#LTR/Gypsy	54287	91
RND-4_FAMILY-912#RC/Helitron	54230	167
RND-1_FAMILY-68#Unknown	54213	83
RND-4_FAMILY-2554#RC/Helitron	54203	65
RND-1_FAMILY-268#LINE/L1	54188	69
RND-4_FAMILY-1665#DNA/TcMar-Pogo	54159	178
RND-1_FAMILY-191#DNA/MULE-MuDR	54154	55
RND-1_FAMILY-403#LTR/Gypsy	54011	62
RND-1_FAMILY-605#Unknown	53918	137
RND-4_FAMILY-3057#LTR/Copia	53876	37
RND-1_FAMILY-450#Unknown	53601	110
RND-1_FAMILY-313#DNA/CMC-EnSpm	53545	46
RND-4_FAMILY-733#LTR/Copia	53502	36
RND-1_FAMILY-83#Satellite	53464	77
RND-5_FAMILY-356#Unknown	53408	241
RND-5_FAMILY-3207#LTR/Gypsy	53395	90
RND-4_FAMILY-2347#LTR/Gypsy	53332	26
RND-1_FAMILY-584#LTR/Caulimovirus	53133	51
RND-1_FAMILY-90#LTR/Gypsy	53112	28
RND-1_FAMILY-366#LTR/Copia	53089	135
RND-4_FAMILY-604#LINE/L1	52903	65
RND-1_FAMILY-122#LTR/Gypsy	52899	73
RND-4_FAMILY-17452#Unknown	52807	139
RND-4_FAMILY-12283#LTR/Copia	52595	74
RND-1_FAMILY-412#LTR/Gypsy	52572	62
RND-1_FAMILY-342#LINE/L1	51877	148
RND-1_FAMILY-213#LTR/Copia	51799	28
RND-1_FAMILY-494#DNA/PIF-Harbinger	51796	76
RND-1_FAMILY-131#Unknown	51745	159
RND-4_FAMILY-3767#LTR/Copia	51685	34
RND-1_FAMILY-475#LTR/Copia	51619	32
RND-4_FAMILY-1427#DNA/CMC-EnSpm	51400	18
RND-4_FAMILY-4247#Unknown	51227	82
RND-1_FAMILY-398#Unknown	51093	66
RND-4_FAMILY-2997#LTR/Copia	50937	44
RND-1_FAMILY-190#LINE/L1	50847	65
RND-1_FAMILY-14#LTR/Gypsy	50840	36
RND-1_FAMILY-272#LTR/Copia	50758	68
RND-1_FAMILY-333#DNA/MULE-MuDR	50730	38
RND-1_FAMILY-22#LINE/L1	50636	38
RND-1_FAMILY-230#LTR/Gypsy	50550	89
RND-1_FAMILY-62#Satellite	50389	381
RND-4_FAMILY-5091#Unknown	50260	156
RND-4_FAMILY-201#DNA/MULE-MuDR	50151	52
RND-4_FAMILY-17240#LTR/Copia	49784	91
RND-1_FAMILY-335#LTR/Gypsy	49617	22
RND-4_FAMILY-524#LINE/L1	49507	58
RND-1_FAMILY-337#LTR/Gypsy	49436	78
RND-4_FAMILY-4408#Unknown	49339	139
RND-4_FAMILY-1142#LINE/L1	49101	59
RND-1_FAMILY-154#Unknown	48700	177
RND-1_FAMILY-579#DNA/PIF-Harbinger	48663	84
RND-4_FAMILY-3638#Unknown	48439	75
RND-1_FAMILY-260#LTR/Copia	48215	38
RND-4_FAMILY-2945#Unknown	48160	105
RND-1_FAMILY-285#Unknown	48101	225
RND-4_FAMILY-280#DNA/PIF-Harbinger	48100	92
RND-4_FAMILY-17877#Unknown	47969	17
RND-4_FAMILY-533#LTR/Copia	47949	25
RND-4_FAMILY-5365#Unknown	47887	45
RND-4_FAMILY-10867#Unknown	47870	123
RND-1_FAMILY-581#LTR/Gypsy	47802	28
RND-4_FAMILY-623#Unknown	47798	106
RND-1_FAMILY-554#DNA/hAT-Tip100	47672	79
RND-1_FAMILY-411#Unknown	47638	73
RND-4_FAMILY-7050#LINE/L1	47603	62
RND-1_FAMILY-180#DNA/MULE-MuDR	47521	22
RND-1_FAMILY-243#LTR/Gypsy	47365	13
RND-1_FAMILY-404#DNA/MULE-MuDR	47330	53
RND-4_FAMILY-19083#DNA/hAT-Tip100	47322	140
RND-1_FAMILY-292#Unknown	47310	58
RND-1_FAMILY-125#LTR/Gypsy	47225	79
RND-1_FAMILY-109#DNA/hAT-Tip100	47130	103
RND-5_FAMILY-4986#LINE/L1	47015	110
RND-1_FAMILY-236#LTR/Copia	46963	54
RND-1_FAMILY-383#DNA/MULE-MuDR	46899	74
RND-1_FAMILY-347#Unknown	46590	110
RND-4_FAMILY-6963#LTR/Gypsy	46521	55
RND-1_FAMILY-420#DNA/MULE-MuDR	46251	50
RND-4_FAMILY-12448#RC/Helitron	46028	47
RND-4_FAMILY-1835#LINE/L1	46018	50
RND-4_FAMILY-11388#Unknown	45973	78
RND-1_FAMILY-262#Unknown	45948	115
RND-1_FAMILY-352#Unknown	45803	142
RND-1_FAMILY-369#Unknown	45737	45
RND-5_FAMILY-543#RC/Helitron	45431	94
RND-4_FAMILY-1517#LTR/Gypsy	45188	27
RND-1_FAMILY-164#LTR/Gypsy	45064	34
